               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.013149,            0.030459,           0.0057498,             0.95963,             0.95173,             0.98524,             0.95571,           0.0067279,            0.017501,           0.0056954,             0.00406,             0.00406,             0.00406
                  92,            0.012603,            0.030824,           0.0055594,             0.96853,             0.95936,             0.98604,             0.95454,           0.0069736,            0.017806,           0.0052786,            0.003994,            0.003994,            0.003994
                  93,            0.012905,             0.03055,           0.0059548,             0.96052,             0.94578,             0.98664,             0.95934,           0.0064391,            0.016929,           0.0059892,            0.003928,            0.003928,            0.003928
                  94,            0.012761,            0.029944,             0.00546,             0.97407,             0.96368,             0.98783,             0.95884,           0.0065604,            0.017226,           0.0046645,            0.003862,            0.003862,            0.003862
                  95,            0.012701,            0.029825,            0.005669,             0.96092,             0.96238,             0.98438,              0.9493,           0.0070836,            0.017854,           0.0055971,            0.003796,            0.003796,            0.003796
                  96,            0.012389,            0.028354,           0.0053436,             0.96866,             0.95448,             0.98446,             0.95599,           0.0063134,            0.017404,           0.0059875,             0.00373,             0.00373,             0.00373
                  97,            0.012092,            0.029151,           0.0051447,             0.95992,             0.96216,             0.98535,             0.95865,           0.0063417,            0.016978,           0.0055059,            0.003664,            0.003664,            0.003664
                  98,            0.012079,              0.0284,           0.0054242,             0.96673,             0.96017,             0.98604,              0.9599,            0.006457,             0.01728,            0.005544,            0.003598,            0.003598,            0.003598
                  99,            0.012581,            0.030898,           0.0056575,             0.96203,             0.94584,             0.98222,             0.95413,           0.0064066,            0.017213,           0.0061298,            0.003532,            0.003532,            0.003532
                 100,            0.012036,            0.029373,           0.0052754,             0.96635,             0.94636,             0.98651,             0.96121,           0.0063751,            0.017376,           0.0054823,            0.003466,            0.003466,            0.003466
                 101,            0.011903,            0.028044,            0.005092,             0.95742,             0.95283,             0.98297,             0.95628,           0.0063612,            0.017123,           0.0060926,              0.0034,              0.0034,              0.0034
                 102,            0.011943,            0.028586,           0.0052732,             0.96053,             0.95459,             0.98481,             0.95769,           0.0062697,            0.016789,           0.0057609,            0.003334,            0.003334,            0.003334
                 103,            0.011488,            0.028893,            0.004935,             0.96048,             0.96182,             0.98652,             0.96133,           0.0061546,            0.016808,           0.0052687,            0.003268,            0.003268,            0.003268
                 104,            0.011695,            0.028933,            0.005165,             0.96487,             0.95982,             0.98665,             0.96068,           0.0062782,            0.016908,           0.0052538,            0.003202,            0.003202,            0.003202
                 105,            0.012128,            0.028959,           0.0050845,             0.96118,             0.96656,             0.98509,             0.95835,           0.0062743,            0.016832,           0.0053636,            0.003136,            0.003136,            0.003136
